Total Exports,Total Imports
4781.5,14971.6
5428.3,16162.5
4809.1,15446.2
5184.5,16457.4
5696.2,17415.5
4623.8,14517
4190,9775.1
4228.9,12329.7
5161,21542.5
4356.2,17422
5712.9,19502.2
5210.7,19152.9
5295.1,16470.7
4349.1,16666.8
5569.8,18656.8
3743.1,14131.8
5113.8,19666.1
4584.2,20915.7
4897.7,17659.7
4261.1,15391.7
4555.1,20975.1
4931.3,21736.9
5738.1,18406
6228.1,21260.4
5380.4,21473.2
7591.7,26384.5
6105.9,20166.5
6838.7,25444.7
4654.2,22557.6
4081.1,18619.8
5055.7,21550.9
4227.2,20089.6
7026.3,24788.8
5576,27466.3
4864.7,25055.7
6295.6,30872
6197.4,25364.9
4874.5,32217.9
4821.4,30861.1
3988.5,29095.3
5083.8,34006.1
5635.6,34284.4
4973.1,32961.7
4610.1,31269.2
5205.9,30196.6
4516.4,25900.3
5161.9,32927.6
5755.4,35250.1
5128.9,30515.1
5466.8,30570.8
6083.6,31988.3
4732.1,28100.1
5552.6,32795.8
5332.9,31600.9
5241.9,32537.5
5004.2,35024.1
5117.7,34835.4
4670.5,33367.4
5447.5,37997.9
6559.8,36842.2
6074.5,32695.6
6408.6,37220
5554.3,30348.7
5655.6,35228.6
6365,42292.5
5858.6,38899.1
6669.4,38264.6
5976.6,40292.9
6679.6,44602
5653.5,43174.3
6318.8,36555.5
7046.5,42093.9
7199.9,46856.5
6766.6,43791.6
6765.8,45831.4
5730.7,42358.8
6412.6,46553.7
6370.3,45956.3
5737.8,44856.8
6024.2,44357.5
6151.2,48267.5
6174,49729.4
6593.7,50040.4
6990.5,48140.1
7592.2,51883.8
7569.4,52659.4
7908.6,49577.1
6529.7,53971.7
7766.6,62262.1
7776.4,63553.3
7743.6,58785.7
8009.1,65160
7225.5,64332.1
7000.8,58742.5
6608.6,64776
10260.9,68662.2
6719.9,58301.9
7707.1,67723
8107.4,65690.3
7011.7,62944.9
7366.3,59856.3
6478.7,59485.7
6795.5,67273.9
6680.9,64642.6
7410.1,71187.6
6698.3,50998.9
6855.3,62591.8
7488,83987.3
6460.5,62578.7
5778,41369.3
4570.6,26538
4148,30507.3
5212.4,52834.3
5422.7,63964.5
5008.8,68036.1
6129.7,89972.8
6507.5,84170.2
6363.8,79386.5
6553.1,85395.3
7962.2,88846.2
6956.6,70721.4
6224.8,78297.6
5749.6,71657.1
5590.9,80980.2
6111.3,80984.7
5641.2,81967.4
5905.5,91550
6037.8,72402.3
6998.1,97851.5
5808.8,82265.6
6287.5,87893.7
5736.9,93541.8
6707.8,78160
6898.4,89578.7
6848.9,92466.7
5922.5,96020.5
6903.7,95919.5
7444.1,102575.1
6454.7,106504.6
5802,105308.3
6318.7,108935.1
6761.4,109532.5
7513,122871.3
7784.6,137231
6921.5,120610.2
7777.5,111736.5
9045.8,141240.6
5536.8,110170.6
8220.2,123238.8
7910.6,116940.9
7666.3,109330.9
8145.6,115838.2
8597.9,112527
8711.5,116502.7
9301,121663.2
9274.7,118735.8
8837.1,106725.3
9664.8,122778.4
8664.9,105445.7
9112.3,115349.5
11337.8,130958.2
9662.9,113436.6
7691.5,108909.1
9936.7,120639.8
3910.7,58292.2
3246.1,42602.9
5938.3,75675.6
9706,95985.6
9620,85808
10823,93038.3
10603,113423.6
9154,110220.3
9855.5,123008
10743.6,135747.3
9117.9,142397.8
10861.8,140345.1
13988.2,167407.2
13712.6,142714.7
12774.2,129254.7
19870.1,156472.1
20765.1,150731.7
23274.5,163785.4
21013.2,164006.1
17071.5,171771.1
20796.3,188113.9
15930.4,160934.5
12805.1,148121.7
16090.1,161270.4
12826.8,157927.1
12775.3,137990.5
12488.8,158570.6
14193.9,157225.3
14809.7,131286.1
13870.7,142313.6
13139.8,127398.6
12954.1,131693.1
12530.2,132055.1
13502.9,127919.8
12624.9,126499.1
11363.9,139220.2
13483.8,143123.5
12620.1,133813.5
12686.5,145658.7
13554.2,130750.6
13528.7,129194.6
12918.4,130555.2
14427.9,148009.1
9690.5,104744.5
12642.1,129705.5
11760.6,125957.6
11862.8,129777.3
13786.5,132278.8
